,Date,Open,High,Low,Close,Volume
0,2015-01-31,5.145,5.5125,4.9875,5.25,5525000.0
1,2015-02-28,5.39,5.775,5.225,5.5,5550000.0
2,2015-03-31,5.635,6.0375000000000005,5.4624999999999995,5.75,5575000.0
3,2015-04-30,5.88,6.300000000000001,5.699999999999999,6.0,5600000.0
4,2015-05-31,6.125,6.5625,5.9375,6.25,5625000.0
5,2015-06-30,6.37,6.825,6.175,6.5,5650000.0
6,2015-07-31,6.615,7.0875,6.4125,6.75,5675000.0
7,2015-08-31,6.859999999999999,7.3500000000000005,6.6499999999999995,7.0,5700000.0
8,2015-09-30,7.1049999999999995,7.612500000000001,6.887499999999999,7.25,5725000.0
9,2015-10-31,7.35,7.875,7.125,7.5,5750000.0
10,2015-11-30,7.595,8.137500000000001,7.3625,7.75,5775000.0
11,2015-12-31,7.84,8.4,7.6,8.0,5800000.0
12,2016-01-31,6.615,7.0875,6.4125,6.75,5675000.0
13,2016-02-29,6.859999999999999,7.3500000000000005,6.6499999999999995,7.0,5700000.0
14,2016-03-31,7.1049999999999995,7.612500000000001,6.887499999999999,7.25,5725000.0
15,2016-04-30,7.35,7.875,7.125,7.5,5750000.0
16,2016-05-31,7.595,8.137500000000001,7.3625,7.75,5775000.0
17,2016-06-30,7.84,8.4,7.6,8.0,5800000.0
18,2016-07-31,8.084999999999999,8.6625,7.8374999999999995,8.25,5825000.0
19,2016-08-31,8.33,8.925,8.075,8.5,5850000.0
20,2016-09-30,8.575,9.1875,8.3125,8.75,5875000.0
21,2016-10-31,8.82,9.450000000000001,8.549999999999999,9.0,5900000.0
22,2016-11-30,9.065,9.7125,8.7875,9.25,5925000.0
23,2016-12-31,9.31,9.975,9.025,9.5,5950000.0
24,2017-01-31,8.084999999999999,8.6625,7.8374999999999995,8.25,5825000.0
25,2017-02-28,8.33,8.925,8.075,8.5,5850000.0
26,2017-03-31,8.575,9.1875,8.3125,8.75,5875000.0
27,2017-04-30,8.82,9.450000000000001,8.549999999999999,9.0,5900000.0
28,2017-05-31,9.065,9.7125,8.7875,9.25,5925000.0
29,2017-06-30,9.31,9.975,9.025,9.5,5950000.0
30,2017-07-31,9.555,10.2375,9.2625,9.75,5975000.0
31,2017-08-31,9.8,10.5,9.5,10.0,6000000.0
32,2017-09-30,10.045,10.762500000000001,9.737499999999999,10.25,6025000.0
33,2017-10-31,10.29,11.025,9.975,10.5,6050000.0
34,2017-11-30,10.535,11.2875,10.2125,10.75,6075000.0
35,2017-12-31,10.78,11.55,10.45,11.0,6100000.0
36,2018-01-31,9.555,10.2375,9.2625,9.75,5975000.0
37,2018-02-28,9.8,10.5,9.5,10.0,6000000.0
38,2018-03-31,10.045,10.762500000000001,9.737499999999999,10.25,6025000.0
39,2018-04-30,10.29,11.025,9.975,10.5,6050000.0
40,2018-05-31,10.535,11.2875,10.2125,10.75,6075000.0
41,2018-06-30,10.78,11.55,10.45,11.0,6100000.0
42,2018-07-31,11.025,11.8125,10.6875,11.25,6125000.0
43,2018-08-31,11.27,12.075000000000001,10.924999999999999,11.5,6150000.0
44,2018-09-30,11.515,12.3375,11.1625,11.75,6175000.0
45,2018-10-31,11.76,12.600000000000001,11.399999999999999,12.0,6200000.0
46,2018-11-30,12.004999999999999,12.8625,11.6375,12.25,6225000.0
47,2018-12-31,12.25,13.125,11.875,12.5,6250000.0
48,2019-01-31,11.025,11.8125,10.6875,11.25,6125000.0
49,2019-02-28,11.27,12.075000000000001,10.924999999999999,11.5,6150000.0
50,2019-03-31,11.515,12.3375,11.1625,11.75,6175000.0
51,2019-04-30,11.76,12.600000000000001,11.399999999999999,12.0,6200000.0
52,2019-05-31,12.004999999999999,12.8625,11.6375,12.25,6225000.0
53,2019-06-30,12.25,13.125,11.875,12.5,6250000.0
54,2019-07-31,12.495,13.387500000000001,12.112499999999999,12.75,6275000.0
55,2019-08-31,12.74,13.65,12.35,13.0,6300000.0
56,2019-09-30,12.985,13.912500000000001,12.587499999999999,13.25,6325000.0
57,2019-10-31,13.23,14.175,12.825,13.5,6350000.0
58,2019-11-30,13.475,14.4375,13.0625,13.75,6375000.0
59,2019-12-31,13.719999999999999,14.700000000000001,13.299999999999999,14.0,6400000.0
60,2020-01-31,12.495,13.387500000000001,12.112499999999999,12.75,6275000.0
61,2020-02-29,12.74,13.65,12.35,13.0,6300000.0
62,2020-03-31,12.985,13.912500000000001,12.587499999999999,13.25,6325000.0
63,2020-04-30,13.23,14.175,12.825,13.5,6350000.0
64,2020-05-31,13.475,14.4375,13.0625,13.75,6375000.0
65,2020-06-30,13.719999999999999,14.700000000000001,13.299999999999999,14.0,6400000.0
66,2020-07-31,13.965,14.9625,13.5375,14.25,6425000.0
67,2020-08-31,14.209999999999999,15.225000000000001,13.774999999999999,14.5,6450000.0
68,2020-09-30,14.455,15.4875,14.0125,14.75,6475000.0
69,2020-10-31,14.7,15.75,14.25,15.0,6500000.0
70,2020-11-30,14.945,16.0125,14.487499999999999,15.25,6525000.0
71,2020-12-31,15.19,16.275000000000002,14.725,15.5,6550000.0
72,2021-01-31,318.5,341.25,308.75,325.0,37500000.0
73,2021-02-28,105.84,113.4,102.6,108.0,15800000.0
74,2021-03-31,25.97,27.825000000000003,25.174999999999997,26.5,7650000.0
75,2021-04-30,26.46,28.35,25.65,27.0,7700000.0
76,2021-05-31,26.95,28.875,26.125,27.5,7750000.0
77,2021-06-30,27.439999999999998,29.400000000000002,26.599999999999998,28.0,7800000.0
78,2021-07-31,27.93,29.925,27.075,28.5,7850000.0
79,2021-08-31,28.419999999999998,30.450000000000003,27.549999999999997,29.0,7900000.0
80,2021-09-30,28.91,30.975,28.025,29.5,7950000.0
81,2021-10-31,29.4,31.5,28.5,30.0,8000000.0
82,2021-11-30,29.89,32.025,28.974999999999998,30.5,8050000.0
83,2021-12-31,30.38,32.550000000000004,29.45,31.0,8100000.0
84,2022-01-31,29.89,32.025,28.974999999999998,30.5,8050000.0
85,2022-02-28,30.38,32.550000000000004,29.45,31.0,8100000.0
86,2022-03-31,30.87,33.075,29.924999999999997,31.5,8150000.0
87,2022-04-30,31.36,33.6,30.4,32.0,8200000.0
88,2022-05-31,31.849999999999998,34.125,30.875,32.5,8250000.0
89,2022-06-30,32.339999999999996,34.65,31.349999999999998,33.0,8300000.0
90,2022-07-31,32.83,35.175000000000004,31.825,33.5,8350000.0
91,2022-08-31,33.32,35.7,32.3,34.0,8400000.0
92,2022-09-30,33.81,36.225,32.775,34.5,8450000.0
93,2022-10-31,34.3,36.75,33.25,35.0,8500000.0
94,2022-11-30,34.79,37.275,33.725,35.5,8550000.0
95,2022-12-31,35.28,37.800000000000004,34.199999999999996,36.0,8600000.0
96,2023-01-31,34.79,37.275,33.725,35.5,8550000.0
97,2023-02-28,35.28,37.800000000000004,34.199999999999996,36.0,8600000.0
98,2023-03-31,35.769999999999996,38.325,34.675,36.5,8650000.0
99,2023-04-30,36.26,38.85,35.15,37.0,8700000.0
100,2023-05-31,36.75,39.375,35.625,37.5,8750000.0
101,2023-06-30,37.24,39.9,36.1,38.0,8800000.0
102,2023-07-31,37.73,40.425000000000004,36.574999999999996,38.5,8850000.0
103,2023-08-31,38.22,40.95,37.05,39.0,8900000.0
104,2023-09-30,38.71,41.475,37.525,39.5,8950000.0
105,2023-10-31,39.2,42.0,38.0,40.0,9000000.0
106,2023-11-30,39.69,42.525,38.475,40.5,9050000.0
107,2023-12-31,40.18,43.050000000000004,38.949999999999996,41.0,9100000.0
108,2024-01-31,39.69,42.525,38.475,40.5,9050000.0
109,2024-02-29,40.18,43.050000000000004,38.949999999999996,41.0,9100000.0
110,2024-03-31,40.67,43.575,39.425,41.5,9150000.0
111,2024-04-30,41.16,44.1,39.9,42.0,9200000.0
112,2024-05-31,41.65,44.625,40.375,42.5,9250000.0
113,2024-06-30,42.14,45.15,40.85,43.0,9300000.0
114,2024-07-31,42.63,45.675000000000004,41.324999999999996,43.5,9350000.0
115,2024-08-31,43.12,46.2,41.8,44.0,9400000.0
116,2024-09-30,43.61,46.725,42.275,44.5,9450000.0
117,2024-10-31,44.1,47.25,42.75,45.0,9500000.0
118,2024-11-30,44.589999999999996,47.775,43.225,45.5,9550000.0
119,2024-12-31,45.08,48.300000000000004,43.699999999999996,46.0,9600000.0
